institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,1,24
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,2,26
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,3,28
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,4,23
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,5,26
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,6,30
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,7,25
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,8,23
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,9,24
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,10,20
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,11,25
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,12,26
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,13,23
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,14,30
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,15,29
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,16,26
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,17,25
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,18,29
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,19,29
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,20,24
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,21,25
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,22,27
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,23,20
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,24,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,25,21
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,26,29
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,27,28
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,28,20
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,29,27
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,30,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,31,21
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,32,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,33,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,34,30
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,35,20
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,36,21
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,MCQ,37,23
