institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,1,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,2,18
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,3,27
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,4,24
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,5,37
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,6,21
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,7,50
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,8,36
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,9,48
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,10,46
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,11,21
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,12,30
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,13,20
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,14,48
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,15,17
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,16,24
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,17,36
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,18,37
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,19,27
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,20,32
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,21,25
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,22,25
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,23,49
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,24,21
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,25,26
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,26,49
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,27,35
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,28,25
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,29,47
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,30,47
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,31,30
