institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,1,21
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,2,28
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,3,26
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,4,27
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,5,21
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,6,30
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,7,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,8,28
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,9,20
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,10,21
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,11,26
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,12,26
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,13,29
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,14,27
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,15,24
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,16,25
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,17,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,18,30
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,19,25
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,20,30
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,21,30
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,22,30
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,23,23
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,24,24
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,25,21
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,26,26
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,27,25
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,28,28
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,29,28
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,30,26
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,31,23
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,32,23
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,33,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,34,24
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,35,24
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,36,21
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,37,23
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,38,28
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,39,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,40,20
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,41,20
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,42,27
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,MCQ,43,29
