institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,1,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,2,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,3,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,4,24
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,5,21
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,6,23
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,7,24
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,8,23
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,9,25
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,10,25
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,11,24
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,12,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,13,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,14,25
