institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,1,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,2,24
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,3,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,4,27
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,5,20
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,6,26
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,7,25
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,8,28
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,9,27
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,10,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,11,23
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,12,21
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,13,23
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,14,22
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,15,27
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,16,30
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,17,25
PHS,2025,day,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্বপরিচয়,MCQ,18,24
