institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,1,54
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,2,47
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,3,53
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,4,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,5,54
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,6,43
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,7,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,8,54
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,9,64
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,10,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,11,63
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,12,47
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,13,67
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,14,59
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,15,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,16,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,17,51
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,18,46
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,19,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,20,70
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,21,51
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,22,47
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,23,70
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,24,45
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,25,40
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,26,66
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,27,60
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,28,32
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,29,33
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,30,69
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,31,55
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,32,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,33,62
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,34,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,35,32
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,36,32
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,37,66
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,38,38
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,39,47
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,40,48
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,41,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,42,46
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,43,31
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,44,38
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,45,48
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,46,63
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,47,35
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,48,61
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,49,55
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,50,31
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,51,65
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,52,53
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,53,35
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,54,46
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,55,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,56,50
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,57,63
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,58,38
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,59,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,60,51
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,61,40
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,62,45
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,63,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,64,69
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,65,22
