institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,1,33
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,2,64
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,3,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,4,57
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,5,47
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,6,59
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,7,63
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,8,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,9,54
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,10,35
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,11,65
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,12,37
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,13,56
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,14,42
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,15,67
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,16,34
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,17,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,18,62
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,19,64
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,20,34
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,21,66
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,22,50
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,23,68
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,24,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,25,63
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,26,70
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,27,47
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,28,67
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,29,38
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,30,36
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,31,35
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,32,35
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,33,36
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,34,59
