institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,1,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,2,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,3,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,4,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,5,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,6,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,7,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,8,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,9,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,10,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,11,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,12,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,13,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,14,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,15,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,16,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,17,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,18,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,19,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,20,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,21,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,22,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,23,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,24,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,25,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,26,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,27,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,28,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,29,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,30,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,31,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,32,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,33,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,34,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,35,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,36,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,37,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,38,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,39,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,40,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,41,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,42,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,43,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,44,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,45,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,46,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,47,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,48,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,49,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,50,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,51,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,52,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,53,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,54,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,55,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,56,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,57,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,58,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,59,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,60,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,61,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,62,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,63,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,64,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,65,22
