institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,1,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,2,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,3,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,4,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,5,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,6,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,7,30
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,8,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,9,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,10,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,11,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,12,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,13,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,14,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,15,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,16,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,17,27
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,18,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,19,30
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,20,27
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,21,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,22,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,23,30
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,24,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,25,30
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,26,27
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,27,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,28,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,29,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,30,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,31,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,32,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,33,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,34,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,35,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,36,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,37,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,38,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,39,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,40,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,41,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,42,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,43,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,44,27
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,45,27
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,46,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,47,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,48,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,49,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,50,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,51,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,52,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,53,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,54,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,55,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,56,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,57,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,58,30
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,59,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,60,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,61,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,62,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,63,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,64,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,65,26
