institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,1,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,2,34
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,3,36
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,4,37
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,5,51
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,6,53
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,7,67
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,8,41
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,9,69
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,10,68
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,11,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,12,60
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,13,53
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,14,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,15,47
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,16,35
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,17,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,18,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,19,44
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,20,34
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,21,57
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,22,45
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,23,38
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,24,45
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,25,63
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,26,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,27,34
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,28,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,29,33
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,30,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,31,65
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,32,55
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,33,49
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,34,36
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,35,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,36,32
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,37,33
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,38,53
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,39,69
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,40,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,41,63
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,42,46
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,43,31
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,44,36
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,45,39
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,46,67
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,47,62
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,48,40
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,49,31
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,50,59
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,51,47
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,52,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,53,31
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,54,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,55,67
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,56,42
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,57,49
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,58,56
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,59,60
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,60,42
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,61,41
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,62,61
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,63,56
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,64,70
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,65,39
