institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,1,11
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,2,10
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,3,14
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,4,12
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,5,13
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,6,9
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,7,12
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,8,12
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,9,9
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,10,15
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,11,14
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,12,10
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,13,13
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,14,9
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,15,12
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,16,14
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,17,9
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,18,11
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,19,14
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,20,11
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,21,13
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,22,15
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,23,14
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,24,10
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,25,14
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,26,11
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,27,10
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,28,14
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,29,12
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,30,12
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,31,15
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,32,15
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,33,14
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,34,10
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,35,12
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,36,9
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,37,10
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,38,11
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,39,9
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,40,9
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,41,15
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,42,15
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,43,13
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,44,9
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,45,11
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,46,14
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,47,12
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,48,13
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,49,12
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,50,9
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,51,14
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,52,9
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,53,9
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,54,9
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,55,10
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,56,13
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,57,12
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,58,11
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,59,14
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,60,9
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,61,10
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,62,11
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,63,14
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,64,11
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,65,10
