institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,1,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,2,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,3,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,4,31
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,5,34
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,6,33
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,7,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,8,33
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,9,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,10,27
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,11,27
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,12,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,13,31
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,14,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,15,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,16,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,17,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,18,31
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,19,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,20,33
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,21,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,22,32
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,23,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,24,34
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,25,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,26,31
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,27,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,28,34
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,29,30
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,30,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,31,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,32,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,33,27
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,34,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,35,30
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,36,34
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,37,27
