institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,1,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,2,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,3,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,4,27
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,5,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,6,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,7,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,8,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,9,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,10,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,11,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,12,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,13,30
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,14,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,15,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,16,27
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,17,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,18,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,19,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,20,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,21,27
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,22,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,23,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,24,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,25,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,26,30
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,27,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,28,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,29,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,30,27
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,31,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,32,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,33,30
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,34,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,35,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,36,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,37,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,38,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,39,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,40,22
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,41,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,42,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,43,30
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,44,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,45,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,46,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,47,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,48,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,49,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,50,26
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,51,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,52,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,53,30
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,54,28
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,55,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,56,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,57,30
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,58,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,59,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,60,20
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,61,29
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,62,23
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,63,21
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,64,24
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,MCQ,65,22
