institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,1,56
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,2,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,3,59
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,4,67
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,5,27
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,6,56
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,7,36
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,8,31
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,9,55
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,10,64
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,11,51
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,12,48
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,13,32
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,14,36
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,15,44
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,16,40
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,17,40
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,18,34
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,19,54
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,20,42
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,21,25
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,22,53
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,23,50
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,24,64
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,25,43
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,26,70
PHS,2025,morning,6,N/A,A,অর্ধবার্ষিক পরীক্ষা,বিজ্ঞান,WR,27,33
