institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,1,43
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,2,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,3,44
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,4,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,5,37
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,6,37
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,7,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,8,45
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,9,31
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,10,41
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,11,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,12,45
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,13,32
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,14,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,15,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,16,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,17,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,18,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,19,37
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,20,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,21,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,22,42
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,23,29
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,24,44
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,25,29
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,26,43
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,27,37
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,28,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,29,36
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,30,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,31,29
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,32,31
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,33,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কৃষি,Theory,34,15
