institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,1,32
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,2,50
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,3,58
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,4,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,5,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,6,53
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,7,36
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,8,52
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,9,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,10,47
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,11,47
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,12,39
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,13,35
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,14,54
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,15,45
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,16,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,17,59
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,18,43
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,19,51
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,20,36
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,21,55
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,22,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,23,52
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,24,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,25,49
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,26,55
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,27,46
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,28,33
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,29,41
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,30,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,31,57
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,32,57
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,33,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,Theory,34,59
