institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,1,32
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,2,35
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,3,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,4,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,5,24
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,6,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,7,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,8,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,9,27
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,10,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,11,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,12,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,13,38
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,14,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,15,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,16,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,17,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,18,29
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,19,35
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,20,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,21,29
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,22,37
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,23,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,24,32
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,25,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,26,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,27,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,28,35
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,29,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,30,31
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,31,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,32,32
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,33,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বাংলা,CA,34,16
