institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,1,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,2,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,3,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,4,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,5,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,6,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,7,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,8,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,9,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,10,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,11,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,12,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,13,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,14,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,15,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,16,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,17,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,18,27
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,19,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,20,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,21,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,22,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,23,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,24,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,25,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,26,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,27,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,28,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,29,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,30,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,31,29
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,32,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,33,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,বিজিএস,Theory,34,26
