institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,1,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,2,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,3,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,4,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,5,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,6,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,7,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,8,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,9,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,10,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,11,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,12,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,13,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,14,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,15,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,16,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,17,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,18,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,19,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,20,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,21,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,22,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,23,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,24,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,25,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,26,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,27,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,28,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,29,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,30,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,31,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,32,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,33,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,CA,34,15
