institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,1,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,2,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,3,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,4,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,5,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,6,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,7,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,8,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,9,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,10,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,11,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,12,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,13,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,14,27
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,15,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,16,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,17,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,18,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,19,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,20,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,21,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,22,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,23,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,24,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,25,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,26,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,27,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,28,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,29,24
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,30,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,31,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,32,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,33,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Theory,34,19
