institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,1,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,2,45
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,3,44
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,4,31
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,5,47
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,6,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,7,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,8,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,9,46
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,10,45
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,11,44
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,12,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,13,33
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,14,33
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,15,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,16,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,17,24
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,18,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,19,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,20,43
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,21,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,22,31
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,23,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,24,39
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,25,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,26,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,27,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,28,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,29,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,30,36
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,31,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,32,48
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,33,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,কম্পিউটার এপ্লিকেশন,Practical,34,36
