institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,1,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,2,37
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,3,27
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,4,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,5,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,6,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,7,38
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,8,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,9,24
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,10,39
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,11,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,12,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,13,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,14,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,15,33
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,16,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,17,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,18,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,19,38
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,20,37
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,21,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,22,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,23,29
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,24,29
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,25,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,26,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,27,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,28,39
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,29,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,30,31
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,31,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,32,31
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,33,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,CA,34,17
