institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,1,45
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,2,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,3,32
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,4,39
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,5,45
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,6,32
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,7,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,8,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,9,44
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,10,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,11,33
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,12,49
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,13,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,14,50
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,15,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,16,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,17,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,18,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,19,43
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,20,48
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,21,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,22,50
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,23,27
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,24,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,25,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,26,27
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,27,36
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,28,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,29,33
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,30,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,31,48
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,32,31
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,33,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইঞ্জিনিয়ারিং ড্রইং,Practical,34,39
