institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,1,35
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,2,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,3,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,4,32
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,5,54
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,6,47
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,7,38
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,8,32
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,9,55
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,10,59
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,11,38
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,12,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,13,52
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,14,59
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,15,54
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,16,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,17,47
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,18,33
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,19,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,20,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,21,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,22,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,23,55
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,24,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,25,29
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,26,47
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,27,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,28,41
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,29,37
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,30,35
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,31,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,32,27
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,33,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি,Theory,34,38
