institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,1,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,2,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,3,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,4,39
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,5,39
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,6,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,7,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,8,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,9,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,10,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,11,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,12,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,13,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,14,38
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,15,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,16,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,17,37
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,18,27
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,19,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,20,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,21,38
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,22,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,23,29
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,24,24
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,25,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,26,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,27,29
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,28,32
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,29,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,30,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,31,39
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,32,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,33,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,CA,34,19
