institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,1,60
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,2,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,3,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,4,44
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,5,52
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,6,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,7,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,8,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,9,50
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,10,43
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,11,43
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,12,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,13,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,14,36
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,15,47
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,16,56
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,17,33
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,18,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,19,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,20,57
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,21,44
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,22,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,23,46
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,24,43
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,25,37
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,26,44
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,27,56
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,28,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,29,58
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,30,55
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,31,44
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,32,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,33,54
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,গণিত,Theory,34,51
