institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,1,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,2,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,3,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,4,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,5,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,6,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,7,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,8,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,9,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,10,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,11,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,12,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,13,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,14,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,15,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,16,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,17,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,18,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,19,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,20,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,21,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,22,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,23,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,24,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,25,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,26,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,27,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,28,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,29,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,30,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,31,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,32,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,33,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,CA,34,20
