institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,1,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,2,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,3,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,4,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,5,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,6,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,7,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,8,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,9,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,10,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,11,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,12,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,13,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,14,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,15,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,16,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,17,24
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,18,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,19,24
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,20,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,21,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,22,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,23,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,24,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,25,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,26,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,27,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,28,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,29,24
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,30,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,31,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,32,24
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,33,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Practical,34,24
