institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,1,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,2,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,3,27
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,4,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,5,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,6,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,7,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,8,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,9,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,10,27
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,11,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,12,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,13,24
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,14,29
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,15,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,16,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,17,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,18,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,19,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,20,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,21,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,22,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,23,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,24,25
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,25,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,26,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,27,27
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,28,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,29,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,30,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,31,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,32,24
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,33,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,Theory,34,29
