institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,1,31
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,2,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,3,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,4,32
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,5,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,6,37
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,7,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,8,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,9,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,10,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,11,31
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,12,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,13,38
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,14,36
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,15,49
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,16,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,17,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,18,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,19,44
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,20,31
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,21,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,22,44
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,23,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,24,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,25,39
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,26,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,27,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,28,47
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,29,48
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,30,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,31,48
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,32,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,33,46
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,শারীরিক শিক্ষা,Practical,34,36
