institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,1,35
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,2,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,3,38
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,4,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,5,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,6,24
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,7,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,8,35
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,9,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,10,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,11,31
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,12,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,13,33
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,14,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,15,37
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,16,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,17,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,18,38
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,19,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,20,33
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,21,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,22,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,23,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,24,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,25,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,26,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,27,21
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,28,34
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,29,36
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,30,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,31,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,32,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,33,32
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,CA,34,23
