institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,1,47
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,2,60
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,3,60
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,4,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,5,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,6,23
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,7,50
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,8,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,9,54
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,10,22
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,11,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,12,27
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,13,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,14,53
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,15,29
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,16,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,17,27
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,18,54
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,19,48
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,20,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,21,54
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,22,36
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,23,24
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,24,46
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,25,37
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,26,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,27,16
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,28,32
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,29,33
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,30,26
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,31,36
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,32,54
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,33,17
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,Theory,34,45
