institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,1,29
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,2,45
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,3,40
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,4,45
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,5,47
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,6,44
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,7,50
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,8,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,9,49
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,10,53
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,11,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,12,32
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,13,46
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,14,46
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,15,43
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,16,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,17,28
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,18,42
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,19,33
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,20,52
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,21,41
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,22,50
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,23,41
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,24,35
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,25,39
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,26,15
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,27,20
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,28,47
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,29,18
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,30,19
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,31,30
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,32,33
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,33,36
PHS,2025,day,91,VOC-ICT,A,অর্ধবার্ষিক পরীক্ষা,ট্রেড-২,Theory,34,43
