institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,1,55
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,2,59
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,3,48
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,4,56
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,5,67
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,6,55
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,7,38
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,8,64
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,9,60
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,10,37
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,11,47
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,12,67
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,13,50
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,14,42
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,15,63
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,16,57
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,17,65
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,18,69
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,19,70
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,20,62
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,21,67
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,22,45
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,23,42
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,24,50
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,25,37
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,26,60
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,27,52
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,28,69
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,29,58
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,30,41
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,31,69
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,32,58
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,33,49
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,34,39
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,35,37
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,36,41
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,37,54
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,38,34
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,39,64
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,40,53
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,41,45
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,42,40
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,43,57
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,44,43
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,45,65
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,46,52
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,47,65
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,48,34
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,49,50
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,50,69
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,51,50
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,52,60
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,53,38
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,54,39
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,55,67
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,56,57
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,57,53
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,58,38
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,59,42
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,60,35
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,61,55
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,62,65
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,63,69
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,64,54
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা প্রথম পত্র,WR,65,53
