institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,1,61
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,2,27
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,3,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,4,63
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,5,42
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,6,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,7,49
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,8,69
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,9,39
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,10,45
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,11,63
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,12,37
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,13,64
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,14,27
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,15,64
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,16,66
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,17,34
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,18,52
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,19,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,20,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,21,64
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,22,69
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,23,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,24,67
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,25,51
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,26,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,27,38
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,28,54
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,29,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,30,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,31,51
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,32,69
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,33,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,34,46
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,35,68
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,36,38
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,37,33
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,38,38
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,39,42
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,40,32
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,41,46
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,42,51
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,43,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,44,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,45,32
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,46,56
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,47,53
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,48,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,49,33
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,50,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,51,46
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,52,46
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,53,26
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,54,45
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,55,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,56,45
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,57,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,58,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,59,42
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,60,50
