institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,1,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,2,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,3,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,4,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,5,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,6,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,7,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,8,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,9,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,10,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,11,26
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,12,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,13,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,14,26
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,15,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,16,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,17,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,18,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,19,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,20,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,21,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,22,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,23,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,24,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,25,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,26,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,27,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,28,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,29,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,30,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,31,26
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,32,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,33,12
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,34,26
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,35,27
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,36,27
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,37,12
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,38,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,39,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,40,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,41,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,42,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,43,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,44,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,45,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,46,30
