institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,1,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,2,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,3,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,4,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,5,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,6,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,7,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,8,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,9,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,10,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,11,12
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,12,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,13,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,14,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,15,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,16,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,17,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,18,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,19,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,20,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,21,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,22,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,23,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,24,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,25,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,26,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,27,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,28,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,29,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,30,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,31,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,32,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,33,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,34,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,35,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,36,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,37,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,38,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,39,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,40,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,41,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,42,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,43,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,44,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,45,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,46,12
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,47,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,48,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,49,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,50,12
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,51,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,52,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,53,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,Practical,54,23
