institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,1,39
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,2,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,3,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,4,38
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,5,43
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,6,36
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,7,42
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,8,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,9,45
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,10,47
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,11,49
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,12,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,13,31
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,14,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,15,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,16,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,17,44
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,18,31
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,19,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,20,47
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,21,42
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,22,45
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,23,35
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,24,47
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,25,32
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,26,48
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,27,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,28,35
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,29,41
