institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,1,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,2,9
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,3,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,4,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,5,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,6,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,7,7
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,8,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,9,9
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,10,10
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,11,8
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,12,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,13,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,14,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,15,7
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,16,11
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,17,9
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,18,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,19,10
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,20,7
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,Practical,21,7
