institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,1,33
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,2,40
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,3,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,4,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,5,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,6,39
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,7,39
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,8,47
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,9,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,10,42
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,11,48
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,12,32
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,13,46
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,14,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,15,26
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,16,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,17,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,18,27
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,WR,19,41
