institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,1,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,2,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,3,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,4,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,5,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,6,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,7,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,8,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,9,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,10,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,11,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,12,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,13,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,14,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,15,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,16,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,17,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,18,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,19,27
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,20,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,21,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,22,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,23,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,24,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,25,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,26,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,27,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,28,27
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,29,26
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,30,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,31,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,32,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,33,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,34,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,35,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,36,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,37,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,38,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,39,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,40,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,41,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,42,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,43,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,44,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,45,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,46,26
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,47,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,48,26
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,49,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,50,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,51,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,52,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,53,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,54,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,55,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,56,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,57,27
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,MCQ,58,21
