institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,1,36
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,2,43
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,3,45
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,4,38
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,5,52
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,6,62
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,7,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,8,45
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,9,44
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,10,37
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,11,58
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,12,45
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,13,56
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,14,50
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,15,42
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,16,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,17,46
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,18,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,19,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,20,56
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,গণিত,WR,21,54
