institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,1,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,2,33
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,3,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,4,40
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,5,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,6,41
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,7,49
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,8,49
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,9,35
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,10,12
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,11,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,12,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,13,44
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,14,40
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,15,45
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,16,10
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,17,45
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,18,38
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,19,49
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,20,45
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,21,8
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,22,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,23,47
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,24,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,25,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,26,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,27,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,28,32
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,29,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,30,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,31,8
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,32,34
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,33,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,34,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,35,38
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,36,50
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,37,40
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,38,12
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,39,42
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,40,39
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,41,44
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,42,50
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,43,46
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,44,11
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,45,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,46,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,47,27
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,48,32
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,49,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,50,10
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,51,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,52,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,53,48
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,54,36
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,55,37
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,56,34
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,57,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,58,10
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,59,34
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,60,14
