institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,1,11
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,2,12
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,3,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,4,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,5,10
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,6,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,7,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,8,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,9,12
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,10,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,11,11
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,12,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,13,9
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,14,9
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,15,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,16,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,17,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,18,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,19,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,20,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,21,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,22,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,23,11
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,24,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,25,7
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,26,7
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,27,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,28,9
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,29,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,30,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,31,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,32,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,33,10
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,34,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,35,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,36,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,37,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,38,9
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,39,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,40,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,41,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,42,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,43,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,44,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,45,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,46,9
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,47,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,48,7
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,49,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,50,9
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,51,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,52,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,53,8
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,54,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,55,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,56,7
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,57,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,58,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,59,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,MCQ,60,25
