institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,1,12
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,2,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,3,8
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,4,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,5,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,6,27
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,7,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,8,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,9,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,10,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,11,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,12,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,13,27
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,14,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,15,11
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,16,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,17,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,18,10
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,19,9
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,20,10
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,21,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,22,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,23,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,24,20
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,25,8
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,26,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,27,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,28,9
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,29,12
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,30,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,31,11
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,32,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,33,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,34,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,35,12
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,36,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,37,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,38,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,39,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,40,26
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,41,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,42,8
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,43,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,44,27
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,45,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,46,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,47,10
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,48,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,49,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,50,29
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,51,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,52,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,53,13
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,54,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,55,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,56,9
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,57,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,58,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,59,8
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,MCQ,60,14
