institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,1,69
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,2,50
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,3,60
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,4,38
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,5,39
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,6,67
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,7,57
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,8,53
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,9,38
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,10,42
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,11,35
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,12,55
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,13,65
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,14,69
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,15,54
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,16,53
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,17,55
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,18,59
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,19,48
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,20,56
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,21,67
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,22,55
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,23,38
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,24,64
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,25,60
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,26,37
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,27,47
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,28,67
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,29,50
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,30,42
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,31,63
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,32,57
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,33,65
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,34,69
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,35,70
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,36,62
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,37,67
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,38,45
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,39,42
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,40,50
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,41,37
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,42,60
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,43,52
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,44,69
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,45,58
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,46,41
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,47,69
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,48,58
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,49,49
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,50,39
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,51,37
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,52,41
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,53,54
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,54,34
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,55,64
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,56,53
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,57,45
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,58,40
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,59,57
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,60,43
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,61,65
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,62,52
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,63,65
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,64,34
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা প্রথম পত্র,WR,65,50
