institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,1,22
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,2,50
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,3,39
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,4,48
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,5,26
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,6,35
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,7,48
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,8,40
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,9,40
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,10,26
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,11,46
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,12,24
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,13,32
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,14,36
