institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,1,67
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,2,51
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,3,28
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,4,38
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,5,54
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,6,30
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,7,28
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,8,51
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,9,69
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,10,30
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,11,46
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,12,68
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,13,38
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,14,33
