institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,1,38
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,2,66
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,3,30
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,4,48
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,5,18
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,6,39
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,7,44
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,8,18
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,9,31
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,10,28
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,11,45
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,12,67
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,13,52
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,14,59
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,15,17
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,16,61
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,17,49
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,18,47
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,19,24
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,20,25
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,21,44
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,22,57
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,23,32
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,24,19
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,25,37
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,26,43
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,27,39
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,28,35
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,29,44
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,30,53
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,31,48
