institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,1,41
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,2,31
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,3,34
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,4,34
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,5,44
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,6,31
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,7,23
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,8,46
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,9,34
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,10,47
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,11,22
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,12,43
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,13,46
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,14,49
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,15,30
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,16,40
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,17,45
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,18,34
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,19,28
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,20,27
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,21,23
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,22,24
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,23,39
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,24,28
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,25,21
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,26,38
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,27,43
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,28,36
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,29,42
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,30,25
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,31,45
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,32,47
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,33,49
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,34,28
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,35,31
