institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,1,27
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,2,50
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,3,60
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,4,94
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,5,72
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,6,32
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,7,84
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,8,95
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,9,85
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,10,27
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,11,49
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,12,60
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,13,30
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,14,26
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,15,87
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,16,41
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,17,39
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,18,70
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,19,29
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,20,64
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,21,52
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,22,85
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,23,90
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,24,93
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,25,95
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,26,92
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,27,58
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,28,77
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,29,95
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,30,42
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,31,72
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,32,59
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,33,91
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,34,34
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,35,69
