institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,1,15
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,2,22
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,3,29
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,4,18
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,5,22
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,6,25
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,7,27
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,8,26
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,9,23
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,10,29
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,11,20
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,12,17
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,13,14
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,14,28
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,15,19
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,16,23
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,17,25
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,18,28
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,19,21
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,20,14
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,21,14
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,22,18
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,23,16
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,24,19
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,25,26
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,26,30
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,27,26
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,28,24
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,29,15
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,30,17
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,31,25
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,32,16
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,33,30
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,34,14
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,উচ্চতর গণিত,MCQ,35,23
