institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,1,17
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,2,22
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,3,20
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,4,13
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,5,25
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,6,17
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,7,25
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,8,19
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,9,20
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,10,11
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,11,9
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,12,11
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,13,21
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,14,23
