institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,1,16
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,2,16
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,3,11
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,4,19
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,5,20
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,6,25
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,7,22
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,8,13
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,9,16
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,10,15
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,11,11
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,12,12
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,13,16
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,14,21
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,15,20
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,16,11
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,17,20
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,18,16
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,19,21
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,20,14
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,21,9
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,22,25
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,23,18
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,24,22
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,25,13
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,26,18
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,27,17
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,28,21
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,29,14
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,30,25
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,31,12
