institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,1,39
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,2,53
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,3,49
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,4,37
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,5,28
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,6,62
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,7,36
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,8,63
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,9,22
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,10,68
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,11,56
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,12,28
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,13,61
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,14,56
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,15,34
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,16,37
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,17,43
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,18,42
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,19,59
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,20,21
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,21,61
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,22,60
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,23,40
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,24,51
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,25,57
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,26,43
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,27,70
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,28,61
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,29,56
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,30,28
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,31,52
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,32,28
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,33,27
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,34,63
PHS,2025,mornning,10	,Science,G-B,বার্ষিক/নির্বাচনী পরীক্ষা,ধর্ম,WR,35,25
