institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,1,31
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,2,44
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,3,50
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,4,34
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,5,42
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,6,34
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,7,31
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,8,31
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,9,30
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,10,43
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,11,49
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,12,25
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,13,39
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,14,24
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,15,30
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,16,32
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,17,21
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,18,38
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,19,35
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,20,30
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,21,20
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,22,25
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,23,41
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,24,37
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,25,27
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,26,41
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,27,20
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,28,24
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,29,27
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,30,39
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,31,22
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,32,50
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,33,39
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,34,48
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,35,26
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,36,35
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,37,48
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,38,40
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,39,40
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,40,26
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,41,46
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,42,24
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,43,32
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,44,36
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,45,26
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,46,28
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,47,35
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,48,36
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,49,21
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,50,48
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,51,43
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,52,48
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,53,47
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,54,37
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,55,41
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,56,38
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,57,48
