institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,1,53
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,2,48
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,3,15
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,4,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,5,39
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,6,35
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,7,31
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,8,45
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,9,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,10,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,11,28
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,12,56
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,13,70
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,14,46
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,15,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,16,30
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,17,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,18,54
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,19,56
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,20,60
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,21,39
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,22,55
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,23,65
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,24,68
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,25,35
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,26,41
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,27,55
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,28,49
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,29,41
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,30,63
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,31,27
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,32,38
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,33,66
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,34,30
