institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,1,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,2,21
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,3,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,4,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,5,10
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,6,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,7,25
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,8,19
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,9,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,10,12
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,11,18
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,12,12
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,13,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,14,16
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,15,23
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,16,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,17,11
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,18,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,19,14
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,20,24
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,21,17
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,22,22
PHS,2025,morning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,MCQ,23,20
