institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,1,38
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,2,43
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,3,23
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,4,28
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,5,16
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,6,19
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,7,23
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,8,49
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,9,32
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,10,30
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,11,18
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,12,34
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,13,33
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,14,34
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,15,48
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,16,38
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,17,31
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,18,50
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,19,41
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,20,50
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,21,16
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,22,29
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,23,41
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,24,17
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,25,35
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,26,36
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,27,28
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,28,25
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,29,43
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,30,44
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,31,30
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,32,34
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,33,35
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,34,20
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,35,21
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,জীববিজ্ঞান,WR,36,48
