institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,1,20
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,2,12
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,3,8
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,4,21
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,5,22
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,6,20
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,7,15
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,8,9
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,9,25
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,10,22
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,11,20
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,12,14
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,13,22
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,14,14
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,15,25
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,16,20
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,17,9
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,18,21
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,19,25
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,20,14
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,21,21
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,22,16
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,23,20
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,24,21
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,25,24
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,26,17
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,রসায়ন,MCQ,27,10
