institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,1,45
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,2,63
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,3,53
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,4,44
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,5,96
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,6,58
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,7,34
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,8,91
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,9,90
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,10,29
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,11,52
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,12,96
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,13,36
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,14,96
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,15,80
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,16,82
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,17,79
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,18,98
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,19,30
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,20,85
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,21,91
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,22,60
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,23,79
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,24,29
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,25,34
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,26,87
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,27,91
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,28,64
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,29,79
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,30,72
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,31,65
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি প্রথম পত্র,WR,32,60
