institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,1,42
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,2,72
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,3,59
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,4,91
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,5,34
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,6,69
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,7,86
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,8,65
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,9,61
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,10,45
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,11,98
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,12,70
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,13,52
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,14,87
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,15,48
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,16,33
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,17,98
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,18,76
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,19,66
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,20,55
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,21,75
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,22,55
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,23,93
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,24,35
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,25,83
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,26,83
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,27,84
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,28,100
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,29,36
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,30,80
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,31,38
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,32,27
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,33,50
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,34,60
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,35,94
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,36,72
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,37,32
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,38,84
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,39,95
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,40,85
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,41,27
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,42,49
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,43,60
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,44,30
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,45,26
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,46,87
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,47,41
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,48,39
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,49,70
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,50,29
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,51,64
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,52,52
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,53,85
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,54,90
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,55,93
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,56,95
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,57,92
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,58,58
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,59,77
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,60,95
