institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,1,36
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,2,19
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,3,37
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,4,24
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,5,44
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,6,26
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,7,46
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,8,49
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,9,29
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,10,60
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,11,70
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,12,49
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,13,60
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,14,67
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,15,61
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,16,49
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,17,14
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,18,63
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,19,15
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,20,44
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,21,64
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,22,63
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,23,12
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,24,27
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,25,21
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,26,22
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,27,33
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,28,70
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,29,28
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,30,44
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,31,49
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,উচ্চতর গণিত,WR,32,44
