institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,1,12
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,2,12
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,3,15
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,4,20
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,5,15
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,6,23
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,7,12
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,8,20
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,9,9
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,10,23
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,11,8
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,12,13
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,13,25
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,14,10
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,15,21
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,16,22
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,17,12
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,18,8
